farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status
FARM0030,Central USA,Cotton,18.83,5.66,15.39,184.85,90.0,6.1,Drip,Mixed,6.81,2024-01-08,2024-04-19,102,5356.92,SENS0030,2024-03-27,13.809559,72.524419,0.7,Mild
FARM0031,South USA,Maize,36.84,5.84,27.14,236.98,45.73,8.92,Manual,Organic,31.04,2024-02-19,2024-07-01,133,5632.1,SENS0031,2024-05-25,19.916361,84.300294,0.35,Mild
FARM0034,East Africa,Soybean,33.39,6.17,24.89,131.25,64.38,6.13,Manual,Inorganic,17.58,2024-03-23,2024-08-16,146,3105.07,SENS0034,2024-03-25,22.915681,73.821128,0.44,Severe
FARM0035,South USA,Soybean,36.54,6.88,27.92,172.71,79.65,4.56,Sprinkler,Inorganic,36.13,2024-02-22,2024-06-28,127,3476.08,SENS0035,2024-05-20,20.637595,84.918709,0.5,Severe
FARM0036,Central USA,Maize,18.8,5.74,18.85,79.89,66.79,8.57,Sprinkler,Organic,14.74,2024-02-09,2024-06-24,136,4358.35,SENS0036,2024-06-22,24.919769,89.610213,0.8,Moderate
FARM0038,Central USA,Cotton,13.99,5.63,24.83,194.26,74.32,4.91,Manual,Organic,49.73,2024-01-18,2024-06-04,138,3664.7,SENS0038,2024-03-15,29.392338,77.607561,0.85,Moderate
FARM0039,East Africa,Cotton,20.69,6.74,27.19,235.02,87.38,5.25,Sprinkler,Inorganic,34.72,2024-01-08,2024-04-18,101,4207.97,SENS0039,2024-01-28,10.066893,79.010074,0.66,Moderate
FARM0040,North India,Rice,20.08,6.07,32.19,67.79,51.67,5.59,Sprinkler,Inorganic,10.16,2024-01-21,2024-04-29,99,5633.65,SENS0040,2024-02-08,11.785246,73.318456,0.48,Moderate
FARM0041,South USA,Wheat,26.4,6.11,23.05,118.06,67.0,6.63,Drip,Inorganic,38.05,2024-03-09,2024-06-08,91,2365.31,SENS0041,2024-06-03,30.898965,81.503982,0.87,Moderate
FARM0046,Central USA,Soybean,19.35,5.51,29.52,259.37,69.0,7.96,Sprinkler,Inorganic,29.24,2024-02-11,2024-06-15,125,5051.49,SENS0046,2024-03-30,21.383615,76.435547,0.41,Mild
FARM0048,North India,Soybean,41.87,5.53,17.88,267.73,88.5,4.45,Manual,Inorganic,33.05,2024-02-21,2024-05-26,95,5407.06,SENS0048,2024-05-17,31.483555,77.600188,0.49,Severe
FARM0049,East Africa,Wheat,31.61,5.97,28.69,121.84,51.37,4.54,Drip,Mixed,36.68,2024-01-15,2024-04-24,100,4776.0,SENS0049,2024-01-18,11.149774,85.922869,0.48,Moderate
FARM0051,Central USA,Soybean,15.53,6.38,21.91,196.89,71.95,6.55,Manual,Inorganic,43.04,2024-01-13,2024-06-05,144,3932.83,SENS0051,2024-03-13,19.534107,77.179183,0.48,Moderate
FARM0058,North India,Maize,18.52,5.75,26.29,67.15,78.26,5.24,Sprinkler,Organic,19.79,2024-01-26,2024-06-21,147,4383.93,SENS0058,2024-04-05,31.460153,72.89376,0.38,Moderate
FARM0064,Central USA,Soybean,17.92,6.36,26.22,241.86,71.09,8.05,Drip,Mixed,46.81,2024-03-09,2024-06-08,91,2721.66,SENS0064,2024-06-06,29.060238,88.43075,0.51,Mild
FARM0066,South India,Soybean,11.74,5.66,23.86,156.0,70.35,6.49,Sprinkler,Mixed,10.12,2024-02-04,2024-05-22,108,4712.87,SENS0066,2024-04-19,22.165819,83.342651,0.33,Severe
FARM0069,North India,Rice,25.25,6.3,16.57,267.63,77.29,5.33,Sprinkler,Organic,27.97,2024-01-17,2024-05-18,122,2775.61,SENS0069,2024-04-25,18.734382,84.547582,0.79,Mild
FARM0072,South USA,Soybean,32.81,6.14,24.51,87.72,43.09,4.62,Manual,Mixed,8.79,2024-03-06,2024-06-06,92,2990.97,SENS0072,2024-05-01,34.774651,80.481371,0.67,Moderate
FARM0075,South USA,Soybean,22.66,6.23,18.61,103.55,87.38,6.92,Sprinkler,Organic,11.97,2024-02-28,2024-07-17,140,2404.56,SENS0075,2024-07-15,30.877996,87.673643,0.32,Moderate
FARM0078,East Africa,Wheat,34.9,6.53,17.49,70.97,48.02,6.7,Sprinkler,Inorganic,9.13,2024-01-27,2024-05-24,118,5538.52,SENS0078,2024-01-30,20.372423,77.929079,0.52,Severe
FARM0079,North India,Maize,17.86,6.14,16.98,228.68,56.76,4.88,Drip,Inorganic,46.28,2024-02-23,2024-07-15,143,2555.17,SENS0079,2024-06-22,21.215037,70.105024,0.35,Moderate
FARM0080,South India,Rice,29.21,6.95,25.56,77.8,54.41,5.81,Drip,Organic,23.89,2024-03-15,2024-06-17,94,2443.43,SENS0080,2024-05-17,24.918476,70.328707,0.61,Mild
FARM0081,South India,Maize,25.02,6.73,19.81,154.14,73.22,4.51,Manual,Organic,47.9,2024-03-17,2024-08-04,140,5953.33,SENS0081,2024-03-22,19.761343,79.402702,0.68,Moderate
FARM0082,Central USA,Wheat,22.5,5.64,19.82,214.28,45.18,7.49,Manual,Organic,7.0,2024-03-11,2024-07-31,142,4571.18,SENS0082,2024-07-07,34.52048,79.570623,0.41,Mild
FARM0085,Central USA,Wheat,12.8,6.82,21.13,200.66,61.31,8.14,Manual,Inorganic,6.91,2024-02-20,2024-06-16,117,3098.22,SENS0085,2024-05-31,33.697609,71.500823,0.68,Moderate
FARM0086,East Africa,Rice,43.35,5.79,27.15,245.33,41.74,4.4,Manual,Inorganic,22.23,2024-03-02,2024-07-08,128,2613.75,SENS0086,2024-06-25,33.720588,77.440268,0.76,Mild
FARM0088,South India,Wheat,25.82,7.3,23.9,71.95,74.1,9.07,Manual,Mixed,20.63,2024-01-18,2024-05-21,124,3161.45,SENS0088,2024-02-25,31.284051,84.236182,0.86,Mild
FARM0089,Central USA,Soybean,17.85,7.47,30.84,109.18,64.7,6.17,Manual,Inorganic,41.16,2024-03-05,2024-07-12,129,5536.99,SENS0089,2024-03-21,17.732268,89.991901,0.73,Severe
FARM0090,South USA,Soybean,12.58,7.44,27.85,162.49,74.01,6.07,Sprinkler,Organic,24.47,2024-01-27,2024-05-03,97,4072.41,SENS0090,2024-03-05,14.116427,76.453215,0.73,Moderate
FARM0092,North India,Wheat,11.59,6.78,26.54,212.78,78.35,6.5,Drip,Inorganic,45.0,2024-03-10,2024-07-19,131,5826.6,SENS0092,2024-07-11,16.121948,86.146986,0.54,Severe
FARM0093,North India,Wheat,15.53,6.33,24.29,135.05,47.18,9.17,Manual,Mixed,49.46,2024-02-13,2024-05-21,98,5042.66,SENS0093,2024-04-18,24.04128,76.382318,0.58,Moderate
FARM0094,South USA,Rice,14.93,5.6,33.91,266.04,60.91,9.78,Sprinkler,Inorganic,47.02,2024-03-11,2024-06-21,102,5052.49,SENS0094,2024-05-13,34.899235,79.336302,0.83,Severe
FARM0098,East Africa,Maize,27.76,6.52,24.8,190.73,63.74,4.1,Manual,Mixed,9.93,2024-02-19,2024-06-07,109,5187.02,SENS0098,2024-05-21,31.802478,82.58521,0.66,Moderate
FARM0100,South India,Cotton,27.56,6.72,24.43,262.09,76.37,8.23,Sprinkler,Mixed,19.63,2024-03-16,2024-07-17,123,3507.3,SENS0100,2024-07-16,14.329561,88.242483,0.51,Moderate
FARM0102,East Africa,Soybean,23.29,7.46,31.37,288.65,80.23,5.74,Manual,Mixed,8.56,2024-02-21,2024-06-06,106,4989.35,SENS0102,2024-03-19,15.0517,80.771558,0.86,Moderate
FARM0103,South India,Wheat,31.55,6.67,19.85,217.46,66.55,7.83,Drip,Organic,23.6,2024-03-16,2024-06-20,96,4724.77,SENS0103,2024-04-02,10.129536,81.007051,0.86,Severe
FARM0104,South USA,Cotton,32.77,7.01,20.74,121.35,42.96,8.61,Sprinkler,Mixed,38.24,2024-01-06,2024-05-01,116,5528.98,SENS0104,2024-01-28,33.348065,70.726797,0.8,Severe
FARM0109,East Africa,Cotton,28.49,6.22,33.34,78.05,81.44,9.42,Sprinkler,Mixed,29.15,2024-01-11,2024-06-03,144,4081.37,SENS0109,2024-02-09,27.007381,84.338359,0.59,Severe
FARM0112,Central USA,Wheat,16.25,6.57,25.58,231.96,51.13,4.02,Drip,Inorganic,25.84,2024-03-18,2024-07-13,117,4127.73,SENS0112,2024-07-01,15.741602,79.212506,0.39,Mild
FARM0113,North India,Wheat,38.33,6.34,30.32,270.94,40.78,5.24,Drip,Mixed,6.51,2024-03-22,2024-08-04,135,5488.85,SENS0113,2024-05-23,28.513527,78.045307,0.44,Mild
FARM0114,North India,Rice,27.64,6.08,31.32,232.88,55.95,7.59,Manual,Organic,18.58,2024-01-22,2024-05-24,123,2884.17,SENS0114,2024-02-29,16.878848,81.134362,0.66,Mild
FARM0117,South India,Soybean,35.35,6.62,24.59,267.37,56.65,9.74,Drip,Organic,47.17,2024-03-04,2024-07-19,137,5998.29,SENS0117,2024-07-04,32.861032,83.912526,0.72,Severe
FARM0120,South USA,Rice,35.65,6.2,17.8,186.64,49.2,9.34,Drip,Mixed,6.52,2024-01-27,2024-06-07,132,2194.06,SENS0120,2024-01-28,20.309806,86.850894,0.44,Mild
FARM0124,Central USA,Wheat,42.35,6.87,20.61,185.76,72.91,5.08,Manual,Organic,48.27,2024-03-05,2024-07-21,138,5282.76,SENS0124,2024-06-14,33.221874,75.985538,0.64,Severe
FARM0126,Central USA,Cotton,27.17,6.21,33.82,157.96,73.98,7.96,Drip,Mixed,18.29,2024-01-23,2024-04-26,94,2328.15,SENS0126,2024-02-11,19.5,85.677806,0.39,Severe
FARM0127,Central USA,Maize,13.73,5.51,21.17,139.98,53.49,4.8,Sprinkler,Inorganic,25.2,2024-03-17,2024-07-11,116,2413.17,SENS0127,2024-03-28,18.847857,71.861285,0.66,Moderate
FARM0128,South USA,Wheat,20.21,6.28,16.69,275.28,85.26,9.87,Sprinkler,Mixed,22.13,2024-01-09,2024-04-27,109,3073.63,SENS0128,2024-01-27,11.581679,78.693525,0.55,Severe
FARM0129,North India,Maize,18.81,5.99,27.5,198.45,49.78,4.64,Manual,Organic,47.7,2024-02-27,2024-07-05,129,3519.56,SENS0129,2024-05-21,21.005573,78.612324,0.79,Mild
FARM0132,East Africa,Cotton,28.7,7.35,32.39,154.58,41.84,9.81,Drip,Organic,39.6,2024-03-22,2024-07-12,112,2665.35,SENS0132,2024-06-08,11.107417,89.672164,0.71,Severe
FARM0133,Central USA,Cotton,13.71,5.7,19.44,236.71,67.9,8.13,Sprinkler,Inorganic,21.84,2024-02-25,2024-07-07,133,4354.36,SENS0133,2024-07-02,13.768623,89.954055,0.59,Moderate
FARM0136,East Africa,Cotton,23.61,6.91,19.12,238.08,80.44,4.38,Drip,Mixed,13.41,2024-02-07,2024-06-05,119,2455.82,SENS0136,2024-05-02,31.565914,80.5543,0.68,Severe
FARM0137,East Africa,Cotton,30.55,6.2,31.91,204.34,80.69,8.24,Manual,Mixed,31.56,2024-03-05,2024-06-23,110,2471.45,SENS0137,2024-04-13,12.923723,77.466121,0.38,Severe
FARM0138,South USA,Soybean,14.83,6.27,18.72,208.88,74.67,7.87,Sprinkler,Mixed,12.51,2024-02-05,2024-05-16,101,3258.32,SENS0138,2024-04-02,25.485249,87.310445,0.87,Severe
FARM0140,East Africa,Cotton,29.24,5.73,17.28,243.78,81.16,6.2,Drip,Mixed,24.86,2024-01-14,2024-04-19,96,4943.95,SENS0140,2024-04-06,28.783637,75.954179,0.9,Severe
FARM0141,Central USA,Maize,40.18,5.67,32.31,79.35,80.59,5.26,Manual,Mixed,32.46,2024-02-06,2024-06-14,129,2556.94,SENS0141,2024-03-29,30.338247,86.10881,0.64,Moderate
FARM0142,East Africa,Soybean,15.89,7.46,20.85,193.18,87.62,7.09,Drip,Organic,48.32,2024-02-02,2024-05-19,107,5468.19,SENS0142,2024-02-18,27.535663,72.653817,0.39,Moderate
FARM0145,South USA,Wheat,14.35,7.22,23.83,50.17,87.9,5.21,Sprinkler,Mixed,18.58,2024-02-03,2024-06-13,131,3441.74,SENS0145,2024-02-24,19.296094,88.076005,0.4,Severe
FARM0147,North India,Wheat,20.97,7.26,17.74,243.37,77.66,4.8,Sprinkler,Organic,28.87,2024-01-20,2024-05-30,131,2656.47,SENS0147,2024-04-18,28.060801,82.561601,0.39,Severe
FARM0149,South India,Soybean,31.24,5.88,22.84,211.54,79.19,8.76,Sprinkler,Inorganic,22.36,2024-01-16,2024-05-25,130,4375.72,SENS0149,2024-01-19,34.672063,88.678488,0.38,Severe
FARM0150,Central USA,Soybean,33.9,7.03,34.09,242.59,40.83,4.41,Manual,Organic,6.79,2024-01-26,2024-05-20,115,4026.44,SENS0150,2024-04-15,27.815727,85.3422,0.55,Severe
FARM0151,North India,Soybean,28.82,5.81,16.67,69.76,86.05,9.85,Sprinkler,Mixed,19.7,2024-03-21,2024-08-06,138,5338.11,SENS0151,2024-04-06,17.754237,78.749721,0.87,Mild
FARM0152,North India,Rice,13.02,6.37,24.07,202.21,55.46,8.45,Sprinkler,Organic,5.57,2024-01-23,2024-04-22,90,2655.33,SENS0152,2024-03-07,23.075134,85.659742,0.73,Mild
FARM0154,Central USA,Rice,18.93,5.71,26.48,230.69,51.42,7.05,Drip,Organic,16.0,2024-02-12,2024-06-05,114,5680.91,SENS0154,2024-03-05,33.279002,87.149704,0.63,Severe
FARM0158,South USA,Wheat,30.33,6.51,27.74,148.59,69.59,4.37,Sprinkler,Organic,18.13,2024-02-26,2024-06-20,115,4802.9,SENS0158,2024-05-30,18.156289,79.055157,0.44,Mild
FARM0159,South India,Soybean,13.81,5.71,23.99,128.51,46.04,6.15,Sprinkler,Inorganic,18.87,2024-02-28,2024-06-04,97,2361.68,SENS0159,2024-05-25,17.605375,84.094096,0.66,Mild
FARM0163,South USA,Cotton,40.9,6.46,16.75,145.75,60.96,7.86,Sprinkler,Mixed,49.73,2024-03-26,2024-06-25,91,5957.61,SENS0163,2024-06-25,18.977803,80.890356,0.59,Moderate
FARM0165,South India,Soybean,39.63,7.09,22.1,259.81,82.26,5.06,Manual,Mixed,36.39,2024-03-01,2024-07-14,135,4802.24,SENS0165,2024-04-06,24.077722,73.764673,0.89,Severe
FARM0166,East Africa,Maize,16.14,5.58,16.12,200.42,41.0,6.87,Manual,Mixed,14.07,2024-01-11,2024-05-25,135,2709.84,SENS0166,2024-04-02,11.488899,72.95424,0.72,Mild
FARM0167,North India,Soybean,40.12,7.42,22.47,285.48,59.78,4.61,Manual,Inorganic,11.14,2024-01-24,2024-06-22,150,3747.47,SENS0167,2024-05-27,26.229507,73.484053,0.88,Moderate
FARM0169,North India,Rice,22.14,6.14,27.72,290.77,81.08,8.02,Manual,Inorganic,5.51,2024-01-08,2024-05-21,134,2271.18,SENS0169,2024-03-13,29.6755,84.408272,0.33,Severe
FARM0172,Central USA,Rice,13.36,6.29,25.99,172.74,42.73,4.02,Drip,Inorganic,42.08,2024-03-20,2024-07-18,120,2798.7,SENS0172,2024-03-23,15.173825,82.763813,0.89,Severe
FARM0178,Central USA,Maize,10.71,7.13,21.06,120.09,64.58,8.18,Drip,Organic,11.05,2024-03-15,2024-08-01,139,5303.29,SENS0178,2024-05-22,28.219985,82.099583,0.35,Severe
FARM0180,South India,Wheat,25.98,7.34,29.09,118.49,81.18,7.03,Drip,Mixed,6.38,2024-02-16,2024-06-23,128,3784.41,SENS0180,2024-06-16,24.672006,76.995198,0.4,Moderate
FARM0181,North India,Maize,10.96,5.6,32.08,244.96,50.72,5.33,Sprinkler,Mixed,14.3,2024-03-14,2024-07-14,122,2080.21,SENS0181,2024-06-21,34.178459,83.643995,0.58,Mild
FARM0183,North India,Soybean,44.98,7.43,31.79,190.36,69.69,5.7,Drip,Inorganic,7.87,2024-02-21,2024-06-10,110,5445.97,SENS0183,2024-03-25,26.40299,89.043756,0.69,Mild
FARM0184,South India,Soybean,36.79,7.3,31.11,250.59,70.0,7.96,Sprinkler,Mixed,6.15,2024-02-10,2024-05-26,106,5627.65,SENS0184,2024-04-01,19.706873,70.70638,0.72,Mild
FARM0185,Central USA,Rice,34.02,6.78,24.51,285.17,57.92,5.8,Sprinkler,Mixed,44.44,2024-01-10,2024-04-15,96,3883.12,SENS0185,2024-04-13,16.466296,86.166877,0.76,Mild
FARM0186,Central USA,Wheat,17.78,5.95,32.43,155.12,84.34,6.23,Manual,Inorganic,43.3,2024-02-02,2024-06-26,145,4537.59,SENS0186,2024-02-20,21.805492,73.890876,0.37,Severe
FARM0189,Central USA,Soybean,16.67,6.85,27.53,112.21,74.68,6.07,Sprinkler,Organic,22.26,2024-03-10,2024-06-18,100,2261.15,SENS0189,2024-03-15,17.455056,75.816556,0.74,Moderate
FARM0192,Central USA,Cotton,33.16,6.82,20.4,201.41,46.86,8.98,Drip,Mixed,37.34,2024-01-10,2024-04-16,97,5139.04,SENS0192,2024-03-13,14.966167,73.994988,0.46,Mild
FARM0194,Central USA,Rice,25.99,7.45,20.28,62.52,80.66,9.24,Manual,Inorganic,41.07,2024-02-14,2024-06-30,137,2463.6,SENS0194,2024-02-25,10.241808,72.767889,0.69,Moderate
FARM0196,South India,Wheat,24.56,6.68,31.05,219.6,49.06,6.28,Manual,Mixed,6.3,2024-03-27,2024-08-10,136,5893.78,SENS0196,2024-04-29,22.076991,79.762456,0.83,Severe
FARM0197,North India,Wheat,19.16,6.13,29.09,219.48,78.38,7.46,Sprinkler,Mixed,44.29,2024-03-17,2024-07-29,134,4802.32,SENS0197,2024-04-10,20.821198,84.533039,0.59,Severe
FARM0201,North India,Maize,22.43,6.77,31.0,186.92,58.69,4.64,Sprinkler,Inorganic,11.32,2024-03-24,2024-08-07,136,3636.84,SENS0201,2024-05-28,25.271294,73.750868,0.86,Severe
FARM0202,South India,Cotton,38.86,5.88,21.76,239.29,42.33,7.8,Drip,Inorganic,25.58,2024-03-17,2024-06-23,98,5855.42,SENS0202,2024-03-17,23.259109,70.971432,0.86,Severe
FARM0203,East Africa,Rice,34.21,5.85,31.3,75.89,72.88,7.64,Manual,Mixed,44.66,2024-02-20,2024-07-17,148,4770.06,SENS0203,2024-04-23,16.839897,89.271871,0.88,Severe
FARM0204,South India,Rice,24.45,6.9,29.97,124.73,75.07,9.16,Sprinkler,Organic,14.44,2024-03-10,2024-07-21,133,3381.17,SENS0204,2024-04-12,34.533387,83.001728,0.87,Moderate
FARM0205,North India,Maize,29.68,6.67,33.85,227.53,73.71,9.36,Manual,Inorganic,41.37,2024-03-04,2024-06-03,91,3523.48,SENS0205,2024-03-10,26.756354,73.998048,0.75,Mild
FARM0207,North India,Cotton,23.56,7.41,34.52,128.16,67.61,4.08,Manual,Organic,32.93,2024-02-27,2024-06-10,104,5645.95,SENS0207,2024-05-27,27.738636,77.354822,0.65,Mild
FARM0209,South India,Maize,30.89,7.05,27.51,260.78,55.06,8.74,Manual,Organic,40.28,2024-02-17,2024-05-31,104,5827.95,SENS0209,2024-04-23,11.704412,80.102807,0.55,Severe
FARM0211,North India,Maize,23.35,7.09,17.27,114.15,76.2,4.15,Manual,Mixed,41.13,2024-02-16,2024-05-18,92,3185.74,SENS0211,2024-05-09,14.81281,80.277894,0.87,Mild
FARM0212,East Africa,Soybean,10.26,5.63,28.41,243.4,83.25,6.55,Drip,Organic,29.2,2024-03-24,2024-08-10,139,3740.95,SENS0212,2024-04-11,28.672271,73.075092,0.58,Moderate
FARM0214,East Africa,Wheat,34.53,5.65,33.56,76.53,79.34,5.81,Drip,Inorganic,39.44,2024-02-13,2024-06-07,115,5288.49,SENS0214,2024-02-16,21.849692,80.669355,0.38,Severe
FARM0215,East Africa,Maize,43.6,5.79,28.55,278.54,79.75,8.38,Manual,Organic,29.91,2024-03-05,2024-06-10,97,2167.09,SENS0215,2024-05-17,24.916372,80.743041,0.87,Moderate
FARM0217,Central USA,Wheat,18.77,5.89,26.61,287.88,57.86,8.03,Sprinkler,Organic,17.83,2024-01-07,2024-04-26,110,3943.44,SENS0217,2024-02-18,25.408561,76.11351,0.65,Moderate
FARM0219,Central USA,Rice,41.2,5.89,29.67,206.65,76.37,9.35,Drip,Mixed,31.05,2024-03-07,2024-08-02,148,2146.63,SENS0219,2024-05-12,23.586733,89.974564,0.58,Mild
FARM0221,South USA,Maize,11.41,7.02,19.63,116.09,51.7,8.01,Manual,Inorganic,26.14,2024-02-02,2024-05-04,92,5922.36,SENS0221,2024-03-14,12.580625,89.368828,0.68,Moderate
FARM0223,East Africa,Rice,25.4,5.96,25.29,120.2,47.51,4.94,Drip,Mixed,15.37,2024-02-24,2024-05-31,97,3926.07,SENS0223,2024-04-25,21.975529,81.815818,0.69,Severe
FARM0224,North India,Rice,11.51,6.65,18.22,207.39,41.96,7.43,Drip,Organic,16.62,2024-01-17,2024-05-11,115,4397.43,SENS0224,2024-03-29,25.940568,87.57018,0.74,Moderate
FARM0225,North India,Rice,25.72,7.49,32.35,92.64,81.52,7.61,Sprinkler,Mixed,34.68,2024-02-06,2024-06-21,136,4742.36,SENS0225,2024-06-01,24.913334,71.376858,0.53,Mild
FARM0228,Central USA,Soybean,40.69,6.32,18.78,227.29,79.47,7.47,Drip,Mixed,5.32,2024-03-07,2024-07-19,134,5217.15,SENS0228,2024-06-19,19.056745,73.095572,0.69,Moderate
FARM0230,South India,Cotton,37.41,7.4,17.01,177.09,79.3,8.81,Drip,Organic,22.51,2024-03-01,2024-07-20,141,2364.35,SENS0230,2024-04-07,21.791717,82.004909,0.35,Moderate
FARM0231,South India,Maize,12.8,5.58,22.69,296.11,70.7,7.13,Drip,Organic,33.81,2024-02-01,2024-05-13,102,5402.27,SENS0231,2024-05-13,22.953832,73.89493,0.77,Mild
FARM0233,Central USA,Maize,17.92,7.43,24.1,150.99,40.23,5.05,Drip,Mixed,8.26,2024-02-11,2024-07-10,150,2468.04,SENS0233,2024-06-21,33.917734,87.522261,0.79,Moderate
FARM0234,South USA,Cotton,29.71,7.04,30.15,290.31,62.94,6.76,Drip,Inorganic,10.23,2024-01-13,2024-05-22,130,5154.62,SENS0234,2024-03-09,26.922824,74.598603,0.49,Moderate
FARM0235,East Africa,Soybean,10.34,7.16,19.97,73.25,73.68,8.93,Drip,Mixed,46.91,2024-02-11,2024-06-02,112,2874.26,SENS0235,2024-04-24,16.726895,88.942362,0.71,Mild
FARM0237,South USA,Maize,31.72,6.48,34.71,274.25,83.44,6.94,Manual,Inorganic,14.99,2024-03-05,2024-06-06,93,4102.94,SENS0237,2024-04-28,21.958002,80.815359,0.6,Severe
FARM0238,South India,Cotton,44.18,6.9,24.2,222.3,40.59,5.26,Drip,Inorganic,21.27,2024-02-06,2024-06-10,125,3051.4,SENS0238,2024-03-11,21.783634,82.261681,0.52,Severe
FARM0241,South USA,Maize,19.09,6.22,26.15,252.5,57.21,6.47,Manual,Mixed,48.34,2024-01-19,2024-05-24,126,4599.46,SENS0241,2024-03-27,14.363471,85.606182,0.51,Severe
FARM0242,South USA,Wheat,23.34,6.07,27.63,86.21,48.38,8.85,Manual,Inorganic,33.41,2024-03-13,2024-08-04,144,5628.29,SENS0242,2024-04-02,14.049987,74.564359,0.49,Moderate
FARM0244,South USA,Wheat,13.34,7.37,24.46,63.46,78.55,7.14,Drip,Organic,16.81,2024-01-03,2024-05-13,131,5726.36,SENS0244,2024-04-11,17.734266,74.94793,0.47,Mild
FARM0245,South India,Soybean,39.35,5.56,28.27,265.09,56.26,6.86,Manual,Mixed,25.02,2024-03-18,2024-06-27,101,4363.32,SENS0245,2024-05-15,25.776188,82.717023,0.64,Moderate
FARM0246,Central USA,Cotton,28.89,7.11,23.84,141.45,52.99,5.82,Drip,Mixed,41.69,2024-01-12,2024-04-29,108,3876.79,SENS0246,2024-01-13,27.194249,79.838633,0.75,Moderate
FARM0249,Central USA,Rice,35.03,6.95,19.66,87.67,64.68,6.05,Manual,Inorganic,49.91,2024-02-23,2024-07-12,140,2126.95,SENS0249,2024-03-14,31.088657,89.032881,0.33,Severe
FARM0250,North India,Soybean,26.46,5.88,31.83,254.31,81.41,4.73,Sprinkler,Inorganic,39.71,2024-02-08,2024-06-24,137,5978.14,SENS0250,2024-03-29,21.520866,85.419919,0.61,Mild
